uniprot	mean
A0A0B7P3V8	0.33731374
D6VTK4	0.39618888
O13297	0.5665316
O13329	0.44049686
O13516	0.42084372
O13527	0.38269207
O13535	0.4550227
O13539	0.2156426
O13547	0.57496387
O13563	0.42074502
O14467	0.9522897
O60200	0.22793424
O74700	0.2704071
O94742	0.73120004
P00044	0.37128505
P00127	0.7595425
P00128	0.18012418
P00163	0.25336644
P00175	0.25113994
P00330	0.15268013
P00331	0.150651
P00358	0.28576684
P00359	0.29341522
P00360	0.30788657
P00401	0.18406834
P00410	0.24237457
P00420	0.24243788
P00424	0.47195184
P00431	0.37622455
P00445	0.7970376
P00546	0.20257694
P00549	0.25880718
P00560	0.20683861
P00572	0.14697182
P00635	0.14805992
P00724	0.17327012
P00729	0.14285032
P00812	0.29291138
P00815	0.22598599
P00817	0.21012183
P00830	0.35782835
P00854	0.28519163
P00890	0.24631193
P00924	0.2684573
P00925	0.28990808
P00927	0.17779031
P00937	0.18189918
P00942	0.13408646
P00950	0.33274496
P00958	0.17171787
P01094	0.9512127
P01119	0.54089296
P01120	0.64323324
P01123	0.31344113
P02293	0.5043824
P02294	0.49075893
P02309	0.3558119
P02400	0.6349137
P02406	0.4710572
P02557	0.27927408
P02829	0.33415967
P02992	0.3159928
P02994	0.35998148
P03069	0.56525016
P03870	0.18496521
P03871	0.29816127
P03873	0.19139966
P03877	0.20995267
P03878	0.19370283
P03879	0.22502366
P03962	0.21400626
P03965	0.16573721
P04037	0.36339393
P04039	0.2677324
P04050	0.3916604
P04051	0.22987583
P04147	0.4990484
P04385	0.16351847
P04386	0.32121158
P04387	0.16607946
P04397	0.15446576
P04449	0.6856482
P04456	0.28852376
P04710	0.19081965
P04786	0.42889437
P04802	0.34283486
P04806	0.25025278
P04807	0.2598799
P04817	0.35982195
P04819	0.32968962
P04821	0.47198543
P04840	0.2099561
P04911	0.36447054
P04912	0.3688243
P05030	0.37860912
P05066	0.20866618
P05150	0.15969883
P05317	0.28768298
P05318	0.4861039
P05319	0.5678899
P05373	0.19152845
P05374	0.27666456
P05375	0.17294793
P05453	0.5689378
P05626	0.3362532
P05737	0.28274053
P05739	0.34735993
P05740	0.6469742
P05744	0.24841164
P05745	0.46585014
P05748	0.554307
P05750	0.34961298
P05755	0.4207191
P05756	0.20753781
P05759	0.28727484
P05986	0.33935323
P06100	0.20498809
P06101	0.42513195
P06102	0.66772956
P06103	0.2532683
P06104	0.5505596
P06105	0.45542425
P06106	0.22035174
P06115	0.26768795
P06168	0.23973304
P06169	0.17775635
P06197	0.2612502
P06208	0.24815045
P06242	0.2050568
P06243	0.27063018
P06244	0.41438714
P06245	0.32768095
P06367	0.60444784
P06634	0.5199229
P06700	0.3324245
P06701	0.40924525
P06704	0.21713261
P06738	0.21575212
P06774	0.94169885
P06777	0.34712857
P06778	0.74140066
P06779	0.36462355
P06780	0.41314942
P06781	0.1485874
P06782	0.42897734
P06784	0.30942187
P06785	0.21634503
P06786	0.36521697
P06787	0.33362615
P06838	0.5756402
P06839	0.275115
P06843	0.97319555
P06844	0.57708967
P07143	0.46138662
P07149	0.18856539
P07170	0.44187665
P07213	0.41014126
P07244	0.20550454
P07245	0.25684166
P07246	0.15069056
P07248	0.34444723
P07249	0.8008771
P07250	0.33286482
P07251	0.33198372
P07255	0.3183062
P07256	0.2689522
P07257	0.1699066
P07258	0.19222559
P07259	0.20551263
P07260	0.33228445
P07261	0.48498878
P07263	0.27468142
P07264	0.32512128
P07267	0.15530635
P07269	0.6921788
P07270	0.894614
P07271	0.47673815
P07272	0.30528358
P07273	0.44191
P07274	0.20907244
P07276	0.59723735
P07277	0.17253578
P07278	0.4394136
P07280	0.57470256
P07281	0.5505414
P07283	0.18461923
P07284	0.33485952
P07286	0.22912346
P07342	0.3897966
P07347	0.31185994
P07560	0.19867666
P07702	0.22516525
P07703	0.2401545
P07834	0.35062814
P07866	0.54750365
P07884	0.18746774
P07991	0.15201586
P08004	0.4555493
P08018	0.58887005
P08067	0.1925467
P08153	0.7071916
P08417	0.28233838
P08425	0.18657815
P08432	0.18699564
P08458	0.27203086
P08466	0.26867735
P08518	0.29129317
P08524	0.14962119
P08525	0.43763247
P08536	0.26303756
P08539	0.3168869
P08566	0.17242317
P08638	0.44995442
P08640	0.8006041
P08678	0.42123774
P08679	0.2569315
P08964	0.3937897
P09032	0.36057866
P09064	0.49880975
P09119	0.24321339
P09201	0.17796585
P09232	0.43255198
P09440	0.23630515
P09547	0.46054146
P09620	0.4339099
P09624	0.25299338
P09733	0.20855631
P09734	0.20567583
P09798	0.45441008
P09880	0.18749711
P09938	0.2912421
P09950	0.26961833
P09959	0.6006111
P0C0T4	0.4562194
P0C0V8	0.3232647
P0C0W9	0.4330119
P0C0X0	0.7594022
P0C2I2	0.4579332
P0C2I3	0.45667225
P0C2I5	0.45781225
P0C2I6	0.4577791
P0C2I9	0.45876375
P0C2J0	0.45815933
P0C2J1	0.45738703
P0C2J3	0.46230337
P0C2J7	0.33704454
P0C5R9	0.5244151
P0CD91	0.41440237
P0CE41	0.6207046
P0CG63	0.33892962
P0CH08	0.40099478
P0CH09	0.40099478
P0CS90	0.49848658
P0CT04	0.27585566
P0CX25	0.20988902
P0CX26	0.20988902
P0CX27	0.4904594
P0CX28	0.4904594
P0CX29	0.3188397
P0CX30	0.3188397
P0CX31	0.46591848
P0CX32	0.46591848
P0CX35	0.20884044
P0CX36	0.20884044
P0CX37	0.49336094
P0CX38	0.49336094
P0CX39	0.5201874
P0CX40	0.5201874
P0CX41	0.23187774
P0CX42	0.23187774
P0CX43	0.22890534
P0CX44	0.22890534
P0CX45	0.64619684
P0CX46	0.64619684
P0CX47	0.24037296
P0CX48	0.24037296
P0CX49	0.43251586
P0CX50	0.43251586
P0CX51	0.29207787
P0CX53	0.39845458
P0CX54	0.39845458
P0CX55	0.30810198
P0CX56	0.30810198
P0CX63	0.4667065
P0CX64	0.4667065
P0CX77	0.17086564
P0CX78	0.17086564
P0CX79	0.17086564
P0CX80	0.16053632
P0CX81	0.16053632
P0CX82	0.7184341
P0CX83	0.7184341
P0CX84	0.27411318
P0CX85	0.27411318
P0CY06	0.17192377
P0CY08	0.26913026
P0CZ17	0.17086564
P10080	0.80344504
P10081	0.17921819
P10127	0.18735617
P10174	0.38666016
P10363	0.21038169
P10507	0.25548697
P10591	0.45383888
P10592	0.46933722
P10614	0.21963829
P10622	0.44954458
P10659	0.25840288
P10664	0.4454011
P10823	0.4174699
P10862	0.57008517
P10863	0.5693886
P10870	0.53421736
P10961	0.815274
P10962	0.581244
P10964	0.34842378
P11075	0.3705601
P11076	0.15549958
P11154	0.26962408
P11325	0.20749578
P11353	0.38003215
P11412	0.26204827
P11433	0.37870553
P11484	0.33251476
P11491	0.37471923
P11632	0.9030869
P11633	0.9423365
P11655	0.23259021
P11709	0.770879
P11710	0.5267119
P11745	0.31330433
P11746	0.8548434
P11747	0.57139397
P11792	0.5289254
P11914	0.28284857
P11938	0.6611377
P11972	0.30822542
P11978	0.6656941
P11986	0.15584935
P12383	0.37609893
P12385	0.19375592
P12611	0.47792977
P12630	0.33218873
P12683	0.28580377
P12684	0.24651942
P12688	0.3543705
P12689	0.2887683
P12695	0.4318722
P12709	0.232309
P12753	0.30907744
P12754	0.48448938
P12866	0.2007574
P12868	0.19316448
P12904	0.19428849
P12945	0.24376905
P12954	0.42298815
P12962	0.76529396
P13099	0.26632792
P13134	0.410556
P13185	0.65294755
P13186	0.62429124
P13259	0.5062925
P13365	0.35303074
P13382	0.38026488
P13393	0.36575124
P13433	0.28051698
P13517	0.2122856
P13574	0.7772573
P13586	0.2815262
P13587	0.3006001
P13663	0.19574593
P13712	0.18898304
P13856	0.47802645
P14020	0.2725053
P14064	0.6381273
P14065	0.18633212
P14120	0.15908995
P14126	0.39689487
P14164	0.784163
P14180	0.4419963
P14242	0.35656917
P14284	0.23636606
P14291	0.4689495
P14306	0.31794474
P14540	0.25570586
P14680	0.5693866
P14681	0.2247972
P14682	0.6148923
P14693	0.25213188
P14724	0.91495043
P14736	0.42332235
P14737	0.6450529
P14741	0.15713947
P14742	0.23567641
P14743	0.25224862
P14747	0.44733566
P14772	0.28470743
P14832	0.28755787
P14904	0.30979997
P14906	0.32051507
P14907	0.7799986
P14908	0.15208928
P14922	0.7020632
P15019	0.25541207
P15108	0.3326897
P15180	0.3401643
P15202	0.30171838
P15274	0.371044
P15303	0.21275814
P15315	0.6575766
P15367	0.23183085
P15424	0.3551636
P15436	0.2327672
P15442	0.31163904
P15454	0.25356808
P15496	0.34780726
P15565	0.3609529
P15624	0.16989808
P15625	0.17112708
P15646	0.5529183
P15700	0.19700801
P15703	0.16543669
P15705	0.6078767
P15731	0.2517811
P15732	0.23295568
P15790	0.1844647
P15801	0.25541407
P15807	0.16288853
P15873	0.1438352
P15891	0.76744133
P15938	0.3176348
P15992	0.60070646
P16140	0.34090728
P16370	0.37249184
P16387	0.39317104
P16451	0.25981936
P16467	0.18670984
P16474	0.37572178
P16521	0.27805436
P16522	0.26237586
P16550	0.3067302
P16603	0.22992054
P16622	0.17736258
P16649	0.53333753
P16658	0.41567695
P16661	0.19948275
P16664	0.30908078
P16861	0.20557176
P16862	0.28774133
P16892	0.21782376
P17064	0.2457556
P17065	0.62372005
P17076	0.40992686
P17106	0.87180895
P17119	0.35253185
P17157	0.29939085
P17214	0.2859235
P17255	0.24952853
P17260	0.6181612
P17442	0.20876442
P17505	0.30459887
P17536	0.96146667
P17555	0.46881837
P17629	0.33987507
P17649	0.2006478
P17695	0.19421642
P17709	0.1937109
P17883	0.21047993
P17890	0.5516304
P17891	0.7281814
P17898	0.24612586
P17967	0.17464517
P18238	0.16402063
P18239	0.18623081
P18409	0.18487138
P18410	0.389609
P18412	0.48353612
P18480	0.6879493
P18494	0.7337185
P18562	0.1505256
P18759	0.2222823
P18851	0.2347099
P18852	0.38716796
P18888	0.67801875
P18898	0.18646236
P18899	0.6352881
P18961	0.32977998
P19073	0.13210022
P19097	0.36404157
P19145	0.25934133
P19146	0.14846964
P19211	0.40199208
P19262	0.45992666
P19263	0.2845728
P19358	0.26055896
P19414	0.28577065
P19454	0.17084126
P19524	0.3008676
P19541	0.50163466
P19657	0.39579588
P19658	0.20530948
P19659	0.78451407
P19807	0.31457406
P19812	0.25634202
P19880	0.73288226
P19882	0.37815648
P19955	0.16608648
P20050	0.30393893
P20052	0.36986154
P20053	0.31014517
P20081	0.27706972
P20095	0.3318977
P20107	0.4842548
P20133	0.16927946
P20134	0.8104792
P20424	0.48874527
P20433	0.6314662
P20434	0.23999082
P20435	0.61693895
P20436	0.24646278
P20447	0.35011208
P20448	0.46390435
P20449	0.30633068
P20457	0.2010382
P20459	0.24778351
P20485	0.34928852
P20486	0.44288442
P20604	0.21061942
P20606	0.15435964
P20676	0.89604443
P20795	0.16418587
P20840	0.29681823
P20967	0.27832675
P21147	0.34397465
P21182	0.21534674
P21190	0.44729975
P21192	0.79871374
P21242	0.34072548
P21243	0.17015506
P21268	0.32622048
P21269	0.1634381
P21372	0.42619902
P21373	0.43895534
P21374	0.5175671
P21375	0.24172089
P21524	0.23193944
P21538	0.7329558
P21560	0.27128202
P21576	0.37002322
P21592	0.30052313
P21651	0.64886945
P21672	0.24702312
P21691	0.165362
P21734	0.36395037
P21801	0.16494045
P21825	0.44050398
P21826	0.24234545
P21827	0.32075658
P21951	0.21736693
P21954	0.21849805
P21957	0.7209955
P21965	0.21393278
P22007	0.18770185
P22082	0.5382415
P22108	0.22838295
P22133	0.19499376
P22134	0.16292103
