ensembl_gene_id	mean_disorder
YFL026W	0.39618888
YPL228W	0.5665316
YDR110W	0.44049686
YPL081W	0.42084372
YHR167W	0.2156426
YLR390W-A	0.57496387
YLR421C	0.42074502
YOR298C-A	0.9522897
YKL053C-A	0.22793424
YEL020W-A	0.2704071
YDR363W-A	0.73120004
YJR048W	0.37128505
YFR033C	0.7595425
YDR529C	0.18012418
Q0105	0.25336644
YML054C	0.25113994
YOL086C	0.15268013
YMR303C	0.150651
YJR009C	0.28576684
YGR192C	0.29341522
YJL052W	0.30788657
Q0045	0.18406834
Q0250	0.24237457
Q0275	0.24243788
YNL052W	0.47195184
YKR066C	0.37622455
YJR104C	0.7970376
YBR160W	0.20257694
YAL038W	0.25880718
YCR012W	0.20683861
YJR057W	0.14697182
YBR093C	0.14805992
YIL162W	0.17327012
YMR297W	0.14285032
YPL111W	0.29291138
YCL030C	0.22598599
YBR011C	0.21012183
YJR121W	0.35782835
Q0085	0.28519163
YNR001C	0.24631193
YGR254W	0.2684573
YHR174W	0.28990808
YER086W	0.17779031
YKL211C	0.18189918
YDR050C	0.13408646
YKL152C	0.33274496
YGR264C	0.17171787
YMR174C	0.9512127
YOR101W	0.54089296
YNL098C	0.64323324
YFL038C	0.31344113
YDR224C	0.5043824
YBL002W	0.49075893
YNL030W	0.3558119
YBR009C	0.3558119
YDR382W	0.6349137
YGL103W	0.4710572
YFL037W	0.27927408
YPL240C	0.33415967
YOR187W	0.3159928
YPR080W	0.35998148
YBR118W	0.35998148
YEL009C	0.56525016
Q0110	0.19139966
Q0060	0.20995267
Q0065	0.19370283
Q0120	0.22502366
YEL021W	0.21400626
YJR109C	0.16573721
YGL187C	0.36339393
YLR395C	0.2677324
YDL140C	0.3916604
YOR116C	0.22987583
YER165W	0.4990484
YBR020W	0.16351847
YPL248C	0.32121158
YML051W	0.16607946
YBR019C	0.15446576
YGL031C	0.6856482
YOL127W	0.28852376
YMR056C	0.19081965
YOL006C	0.42889437
YLL018C	0.34283486
YFR053C	0.25025278
YGL253W	0.2598799
YEL063C	0.35982195
YDL164C	0.32968962
YLR310C	0.47198543
YNL055C	0.2099561
YDR225W	0.36447054
YBL003C	0.3688243
YGL008C	0.37860912
YOR386W	0.20866618
YJL088W	0.15969883000000001
YLR340W	0.28768298
YDL081C	0.4861039
YOL039W	0.5678899
YGL040C	0.19152845
YGR157W	0.27666456
YJR073C	0.17294793
YDR172W	0.5689378
YPL078C	0.3362532
YGL076C	0.28274053
YLR448W	0.34735993
YKL180W	0.6469742
YPL143W	0.24841164
YMR194W	0.46585014
YLR029C	0.554307
YNL178W	0.34961298
YBR189W	0.4207191
YDR064W	0.20753781
YLR167W	0.28727484
YKL166C	0.33935323
YDL165W	0.20498809
YDR168W	0.42513195
YIL038C	0.66772956000000006
YOR361C	0.2532683
YGL058W	0.5505596
YJL080C	0.45542425
YLR303W	0.22035174
YGR088W	0.26768795
YLR355C	0.23973304
YLR044C	0.17775635
YPR113W	0.2612502
YNL104C	0.24815045
YDL108W	0.2050568
YDL017W	0.27063018
YJL164C	0.41438714
YPL203W	0.32768095
YCR031C	0.60444784
YOR204W	0.5199229
YDL042C	0.3324245
YLR442C	0.40924525
YOR257W	0.21713261
YPR160W	0.21575212
YGL237C	0.94169885
YPL022W	0.34712857
YML032C	0.74140066
