ensembl_gene_id	uniprotswissprot	lddt
YPL071C	Q02864	63.66
YLL050C	Q03048	93.05
YMR172W	Q03213	54.93
YOR185C	P32836	90.13
YLL032C	Q07834	80.86
YBR225W	P38321	63.43
YEL041W	P32622	77.2
YOR237W	P35843	93.95
YMR027W	Q04371	94.34
YBR182C-A	Q8TGU6	77.78
YKL103C	P14904	93.94
YOL048C	Q08219	79.83
YIR015W	P40571	83.24
YNR017W	P32897	72.58
YBL055C	P34220	91.14
YOL144W	Q08287	66.98
YDL246C	Q07786	96.45
YDL243C	Q07747	94.72
YDR387C	Q04162	80.7
YMR290C	Q03532	82.86
YCR031C	P06367	91.89
YBR293W	P38358	88.59
YJL160C	P46999	64.94
YMR139W	P38615	91.8
YDR438W	Q04083	84.92
YDR523C	P08458	72.12
YDR542W	Q03050	69.75
YLR466W	O13559	66.52
YPL208W	Q08961	91.86
YLR054C	Q12202	65.77
YER011W	P10863	62.03
YLR437C	O13577	62.09
YNR069C	P53755	68.23
YDR492W	Q03419	88
YMR191W	P42933	55.11
YIL086C	P40503	39.22
YOL072W	Q08231	93.34
YOR114W	Q12219	69.67
YIL156W-B	Q2V2P4	92.85
YHR094C	P32465	84.46
YOL085C	Q99345	32.61
YHL031C	P38736	85.72
YOR385W	Q08909	83.61
YGL087C	P53152	95.75
YMR244C-A	Q3E846	90.25
YNL306W	P42847	82.2
YOR214C	Q12282	40.03
YAL037W	P39728	80.31
YLL056C	Q12177	96.34
YOL119C	Q08268	80.98
YJL204C	P39531	80.2
YAL016W	P31383	92.25
YIL146C	P40458	57.4
YCL011C	P25555	67.54
YLR128W	Q12395	90.45
YDR018C	Q12185	84.41
YOR019W	Q99248	58.35
YNL288W	P53829	80.09
YCL040W	P17709	93.55
YNL191W	P53871	86.96
YBR115C	P07702	87.28
YGL156W	P22855	93.93
YCR052W	P25632	71.47
YGL015C	P33199	64.2
YOR206W	P39744	79.57
YMR091C	P32832	67.85
YJR105W	P47143	95.48
YHL002W	P38753	74.18
YCR100C	P25606	82.87
YPL217C	Q08965	74.93
YOR341W	P10964	81.57
YDL189W	Q05672	56.03
YER056C-A	P87262	93.85
YMR180C	Q03220	79.18
YNL097C	P50947	71.15
YDR508C	P48813	80.07
YHR045W	P38775	91.99
YML020W	Q03722	68.67
YGR251W	P53317	70.8
YBR031W	P10664	92.13
YDR462W	P36527	86.56
YPR139C	Q06508	93.8
YPR169W	Q06214	81.5
YPL257W	Q08974	53.52
YOL088C	Q99316	88.62
YLR075W	P41805	95.14
YML088W	Q04511	77.75
YIL010W	P40553	83.35
YDR175C	Q03976	87.55
YLR052W	Q12345	66
YKR004C	Q02202	90.51
YNL137C	P27929	90.29
YNL331C	P42884	94.97
YFL026W	D6VTK4	66.71
YJR129C	P47163	91.81
YKR092C	P32583	59.01
YDR186C	Q04007	53.22
YML077W	Q03630	82.6
YEL067C	P39978	40.53
YJL139C	P26725	89.3
YKL002W	P36108	77.91
YGR162W	P39935	61.26
YLR159C-A	P0CY04	69.09
YLR159C-A	P0CY05	68.59
YLR159C-A	P0CY03	68.46
YLR159C-A	P0CY02	68.3
YEL054C	P0CX53	70.42
YEL054C	P0CX54	70.14
YPL009C	Q12532	76.1
YLR025W	P39929	79.9
YDR243C	P23394	81.24
YGR005C	P41896	68.9
YOR160W	Q99189	92.14
YLR049C	Q12110	70.23
YLR308W	Q06703	87.44
YOR084W	Q12405	91.19
YNL030W	P02309	89.09
YHR084W	P13574	56.42
YLR032W	P32849	68.57
YOR039W	P38930	85.28
