ensembl_gene_id	mode_plddt
YPL071C	54.63575
YMR172W	36.75875
YER011W	49.1355
YMR191W	32.35375
YIL086C	43.625
YOL085C	30.423
YOR214C	48.10549999999999
YIL146C	36.17
YOR019W	34.20125
YGL015C	47.287
YDL189W	41.8955
YLR052W	53.02875
YKR092C	46.523
YDR186C	38.13249999999999
YEL067C	45.2705
YGR162W	36.86
YHR084W	41.50075
YOR264W	49.818749999999994
YBR182C	40.58475
YHR126C	43.289
YIL117C	50.61725
YNL140C	34.5975
YDR439W	46.37349999999999
YJL110C	38.9575
YCL024W	31.50625
YOR058C	39.2355
YER084W	59.816500000000005
YHR125W	49.553
YNL091W	35.311
YNL157W	53.22749999999999
YJL020C	37.12875
YHR206W	35.23875
YHR097C	43.594750000000005
YLR094C	37.43375
YFL064C	28.252
YGR186W	40.533
YDR085C	47.57475
YIL045W	37.09625
YJL187C	33.175
YHR214C-D	46.5925
YFL015C	52.9665
YKL062W	34.14
YFR017C	55.7945
YGL021W	37.411249999999995
YDR200C	36.34625
YJR053W	42.728750000000005
YDR451C	47.909
YOR023C	38.915000000000006
YIL158W	58.24125
YOL013W-A	50.25875
YPL192C	58.96125
YDL123W	42.453500000000005
YJR012C	53.0355
YGR041W	36.0325
YAL019W	32.50625
YAL024C	29.14025
YDR505C	33.53625
YGL168W	50.42700000000001
YMR195W	37.69525
YIL056W	28.520249999999997
YBR083W	38.1625
YKR099W	34.59625
YJR146W	35.92625
YNL039W	37.04375
YIL119C	45.18625
YGR273C	55.88249999999999
YKL183C-A	52.242
YDL242W	51.7045
YDR130C	53.559999999999995
YEL059W	50.95875
YOL029C	36.26875
YOL155W-A	51.654
YLR390W-A	47.0185
YOR072W	55.205
YBL071C	45.33925
YJR120W	55.88075
YNL034W	23.384500000000003
YDL028C	34.0425
YGR240C-A	45.4995
YCL042W	41.786249999999995
YJR085C	55.913250000000005
YPR171W	38.713
YDR169C-A	58.71825
YDR422C	33.535
YAL064W-B	35.69125
YIL163C	56.61525
YKL068W-A	51.64825
YKR073C	37.10525
YMR075W	32.34875
YOR343C	32.779250000000005
YDR042C	34.5935
YHL041W	54.580000000000005
YLR110C	38.649
YPL014W	39.25125
YHR143W	37.05
YPL163C	27.78375
YLR403W	39.552
YPL038W-A	58.4105
YJL009W	47.92099999999999
YML030W	56.6755
YKL096W-A	48.95175
YGR161C	47.62075
YDR275W	51.4735
YJR150C	33.5325
YCR025C	52.02375
YLR079W	44.205749999999995
YCR041W	48.472
YDR043C	32.45
YLR228C	32.74625
YJL103C	33.706250000000004
YIR021W-A	53.5145
YDR239C	42.071
YBR071W	52.72225
YJL185C	35.441
YGR031C-A	27.08
YPR053C	40.86875
YKR045C	52.68675
YPL250C	52.53625
YPR013C	33.77875
YLR310C	24.554
YBR270C	38.5765
YGR159C	42.19125
YDR113C	46.3205
YIL092W	27.21475
YAR064W	44.784499999999994
YER161C	54.84
YJR079W	41.533
YBR197C	58.04275
YML113W	48.125
YKL112W	40.13025
YBR027C	52.07
YNL042W-B	33.76375
YIL136W	47.203
YER027C	37.81
YML058W-A	43.51525
YKR102W	24.9245
YMR136W	43.23725
YAL063C-A	58.53125
YGR097W	26.106500000000004
YGL170C	32
YFL034W	35.58
YGL166W	51.9885
YDR077W	39.916250000000005
YDR381C-A	53.25975
YHR073W-A	56.9095
YKL065W-A	52.15125
