ensembl_gene_id	mode_disorder
YPL228W	0.983563
YDR110W	0.9845803
YLR390W-A	0.9841587
YOR298C-A	0.9926878
YFR033C	0.9862183
YJR104C	0.8695613
YMR174C	0.9208925
YOR101W	0.98467374
YNL098C	0.98460627
YDR224C	0.9750716
YBL002W	0.9714741
YDR382W	0.9666014
YEL009C	0.96842146
YER165W	0.9838551
YGL031C	0.9729098
YDL081C	0.880229
YOL039W	0.93042547
YDR172W	0.98417664
YKL180W	0.8422209
YIL038C	0.9842335
YGL058W	0.9733544
YCR031C	0.96416646
YOR204W	0.9826814
YGL237C	0.9911049
YML032C	0.98336554
YML095C	0.9714228
YER161C	0.9957463
YDR392W	0.9794928
YMR042W	0.98463255
YPL075W	0.98712885
YDL106C	0.9842019
YFR034C	0.98721886
YGR258C	0.9481156
YNL192W	0.98211527
YJL128C	0.9839175
YDR146C	0.9813348
YLR451W	0.9824796
YIR019C	0.98493207
YPL016W	0.9842664
YLR182W	0.95441806
YLR264W	0.8186696
YLR256W	0.98349625
YJR045C	0.979419
YFR031C-A	0.9317293
YIL018W	0.9317293
YFR031C-A	0.9317293
YIL018W	0.9317293
YBL027W	0.9365089
YBR084C-A	0.9365089
YBL027W	0.9365089
YBR084C-A	0.9365089
YHL034C	0.97811097
YER020W	0.9843602
YCR066W	0.9837944
YER011W	0.9842784
YDL194W	0.98205423
YGL073W	0.9836589
YAL025C	0.9846755
YPR052C	0.9712454
YBR089C-A	0.98640466
YCL029C	0.98332
YMR043W	0.98593605
YML098W	0.9841358
YNL216W	0.9837388
YDR227W	0.9838042
YOR276W	0.98177963
YDR122W	0.9842727
YLR096W	0.9835608
YGR202C	0.9832183
YHR084W	0.98264635
YGR152C	0.98378754
YKL109W	0.98216325
YKL112W	0.9847417
YJL141C	0.9841349
YDR054C	0.98058826
YFR036W	0.9649066
YDR217C	0.9816258
YBR112C	0.985008
YGL166W	0.8996957
YDL014W	0.98552704
YOR027W	0.98446536
YCR088W	0.9848704
YCR084C	0.9842341
YNL272C	0.98416305
YJR060W	0.9878575
YNL322C	0.9767463
YNL079C	0.97736466
YNL151C	0.9748912
YGR167W	0.9812396
YBR289W	0.9852102
YER040W	0.9828962
YHL025W	0.9750345
YMR173W	0.9852438
YDR148C	0.9850217
YOL051W	0.98402154
YML007W	0.98492783
YOR140W	0.98254025
YPR088C	0.98480356
YPR187W	0.9747683
YOR098C	0.98897886
YLR131C	0.97915924
YBR049C	0.98469245
YJR021C	0.98220587
YHL020C	0.9805751
YOR290C	0.9845753
YOL116W	0.9850429
YGL071W	0.9242389
YNL183C	0.98224044
YOL004W	0.9839029
YJR017C	0.9610591
YIL004C	0.90320086
YFL014W	0.99599504
YLL021W	0.98446625
YHR135C	0.98449373
YNL154C	0.98464024000000006
YPR161C	0.9846276
YLL043W	0.9848809
YDR293C	0.9843978
YEL032W	0.98333883
YNL112W	0.98041636
YPL119C	0.98232484
YPR119W	0.9790221
YDL122W	0.9843556
YPR065W	0.9616444
YBL093C	0.982342
YKR048C	0.9808179
YNL007C	0.985016
YER111C	0.9811878
YMR214W	0.9701223
YCR008W	0.9801754
YCR091W	0.9783538
YCL032W	0.9822034
YCR033W	0.9843237
YCR065W	0.9747328
YLR078C	0.96089804
YDL058W	0.9805328
YCL024W	0.9791577
YDL150W	0.98426914
YCL011C	0.984485
YCL054W	0.98167956
YCL061C	0.9879761
YCL063W	0.9344157
YCR030C	0.98454434
