ensembl_gene_id	lddt
YIL086C	39.22
YOL085C	32.61
YOR214C	40.03
YEL067C	40.53
YNL140C	38.39
YHR125W	47.28
YHR214C-D	43.68
YKL062W	41.37
YGR041W	45.06
YAL024C	49.14
YGL168W	47.72
YJR146W	38.53
YNL034W	35.16
YCL042W	44.46
YDR422C	48.58
YAL064W-B	33.12
YKR073C	46.77
YOR343C	32.57
YDR042C	43.04
YHR143W	43.67
YPL163C	31.51
YLR403W	48.99
YCR041W	42.81
YDR239C	49.47
YJL185C	43.8
YGR031C-A	32.87
YPR053C	42.66
YPR013C	43.83
YIL092W	42.79
YJR079W	47.31
YBR027C	48.01
YNL042W-B	38.06
YIL136W	49.97
YAL063C-A	45.79
YGL170C	46.03
YOR009W	44.13
YDR278C	49.71
YOR284W	47.74
YJR128W	33.3
YCL028W	48.77
YHR054C	44.09
YIR019C	41.78
YJR108W	46.49
YLR156W	41.9
YLR156W	40.16
YLR156W	40.88
YCR006C	39.95
YOR068C	37.75
YHR093W	39.98
YLR030W	44.73
YNL269W	40.67
YJL051W	45.72
YHR180W	31.82
YDR157W	45.55
YMR030W-A	37.95
YFR032C-B	41.52
YBR013C	38.68
YGR050C	46.11
YER076C	46.37
YPL073C	36.27
YER040W	47.58
YMR016C	48.89
YFL068W	39.97
YFL068W	39.69
YFL068W	37.01
YMR007W	47.39
YPL223C	47.08
YOL097W-A	47.13
YOR376W	46.83
YPL062W	36.68
YNL195C	43.17
YPR014C	43.73
YOR029W	32.82
YPR203W	44.36
YOL036W	47.01
YEL076C	40.65
YOR098C	42.66
YPL261C	46.48
YMR086W	48.71
YDL241W	48.23
YFR026C	32.96
YOR113W	43.16
YGL193C	31.17
YNL146C-A	48.83
YOL159C	37.14
YOR382W	45.43
YML122C	43.14
YNL054W	48.12
YLR082C	47.23
YLL066W-A	39.97
YLL066W-A	39.69
YLL066W-A	37.01
YGR067C	43.43
YGR045C	47.36
YFL012W	33.02
YJL077C	42.14
YJL118W	38.12
YFL019C	35.99
YPR195C	44.51
YOL082W	48.98
YLR302C	46.66
YGR164W	45.38
YHL027W	48.94
YOL160W	38.44
YGR196C	49.11
YER033C	47.06
YGR153W	43.49
YMR317W	36.31
YDL039C	29.44
YEL008W	35.04
YIL152W	44.56
YGR296C-B	38.49
YGR296C-B	40.27
YGR296C-B	39.19
YGR296C-B	39.12
YGR296C-B	37.69
YHR149C	49.79
YDR344C	39.32
YPL056C	37.27
YER028C	47.68
YJL078C	45.64
YHR214C-E	41.98
YAR069C	43.68
YNL074C	49.22
YDR215C	37.48
YLR353W	46.07
YGR269W	33.48
YBL081W	44.89
YLR194C	36.47
YLR006C	49.06
YKL109W	44.67
YLL067W-A	39.97
YLL067W-A	39.69
YLL067W-A	37.01
YDR207C	49.6
YER188W	40.88
YHR014W	45.91
YER014C-A	37.42
YOL015W	44.97
YEL076C-A	42.47
YEL076C-A	44.76
YKL097C	40.51
YCR108C	49.53
YML109W	49.73
YEL035C	43.62
YLR159W	41.9
YLR159W	40.16
YLR159W	40.88
YPL085W	44.86
YGR018C	40.74
YAL065C	47.03
YLR161W	41.9
YLR161W	40.16
YLR161W	40.88
YCR022C	34.48
YCR089W	38.09
YEL057C	33.62
YMR105W-A	48.82
YMR122C	37.63
YBL113C	47.72
YMR230W-A	42.74
YML119W	48.26
YOR383C	46.91
YGL209W	49.52
YPL119C-A	47.97
YLR112W	36.86
YJL027C	35.22
YML053C	41.07
YBR045C	47.24
YGL259W	45.87
YMR219W	35.72
YIL059C	44.35
YEL025C	49.66
YBL044W	45.37
YPL027W	38.46
YER085C	41.88
YPL080C	36.56
YNL327W	49.11
YDR420W	42.08
YER130C	38.23
YKL093W	48.59
YPR078C	37.43
YKL101W	47.08
YFR020W	48.55
YPL283W-B	38.49
YPL283W-B	40.27
YPL283W-B	39.19
YPL283W-B	39.12
YPL283W-B	37.69
YER167W	46.74
YBR032W	33.73
YDR146C	49.86
YAL067W-A	44.38
YCR085W	47.92
YJR151C	38.77
YBR184W	28.36
YCR024C-B	41.35
YGL262W	35.24
YER175W-A	46.74
YGL260W	36.33
YLR358C	31.21
YPR005C	47.69
YMR037C	40.72
YDR227W	44.45
YNL196C	47.11
YML083C	36.01
YLR312C	41.28
YJR094C	43.64
YPR204C-A	38.49
YPR204C-A	40.27
YPR204C-A	39.19
YPR204C-A	39.12
YPR204C-A	37.69
YER145C-A	32.97
YKR015C	46.79
YFR009W-A	42.59
YOR247W	42.13
YNL208W	46.68
YJL056C	42.93
YHL037C	37.32
YLR464W	42.47
YLR464W	44.76
YDR223W	42.76
YFR016C	42.92
YOL159C-A	49.2
YBR066C	49.24
YDR209C	29.62
YHR021W-A	37.59
YER190C-B	38.49
YER190C-B	40.27
YER190C-B	39.19
YER190C-B	39.12
YER190C-B	37.69
YKR077W	45.02
YLR042C	45.03
YLR122C	35.38
YCR050C	44.96
YKL037W	35.85
YEL014C	29.7
YGL007W	46.61
YFR054C	32.06
YDR010C	45.12
YCL058C	40.89
YHL005C	39.37
YBR148W	44.98
YMR081C	46.08
YBR050C	33.23
YNL018C	33.24
YDL069C	43.17
YHR139C-A	40.53
YDR534C	33.88
YKR032W	47.11
YJL197C-A	33.56
YLR236C	45.62
YDR274C	33.62
YKR005C	46.36
YIL060W	44.52
YDL223C	34.24
YPR064W	44.63
YAR068W	41.8
YPL230W	49.92
YOL014W	45.55
YMR273C	49.87
YER135C	38.87
YLR255C	46.07
YNL027W	43.79
YMR082C	43.84
YDR114C	45.42
YHR157W	34.33
YMR173W	40.21
YNL184C	49.28
YFR035C	37.55
YBR063C	28.72
YPL130W	41.13
YGL118C	34.88
YJL076W	48.6
YGR014W	43.53
