ensembl_gene_id	mode_disorder
YFL026W	0.16573323
YPL228W	0.983563
YDR110W	0.9845803
YPL081W	0.12438902
YHR167W	0.12990437
YLR390W-A	0.9841587
YLR421C	0.27440298
YOR298C-A	0.9926878
YKL053C-A	0.10644817
YEL020W-A	0.16713786
YDR363W-A	0.7287604
YJR048W	0.4224425
YFR033C	0.9862183
YDR529C	0.13062784
Q0105	0.15119281
YML054C	0.13029952
YOL086C	0.12947111
YMR303C	0.1282431
YJR009C	0.1337046
YGR192C	0.13184187
YJL052W	0.13183457
Q0045	0.13698494
Q0250	0.12664872
Q0275	0.15076761
YNL052W	0.4587418
YKR066C	0.12776582
YJR104C	0.8695613
YBR160W	0.12843893
YAL038W	0.1244953
YCR012W	0.12538043
YJR057W	0.1318832
YBR093C	0.124944955
YIL162W	0.1197514
YMR297W	0.12525672
YPL111W	0.12765118
YCL030C	0.12050236
YBR011C	0.12681612
YJR121W	0.1400435
Q0085	0.19170436
YNR001C	0.12581423
YGR254W	0.13898659
YHR174W	0.13963124
YER086W	0.12456626
YKL211C	0.1238762
YDR050C	0.12501079
YKL152C	0.11066173
YGR264C	0.13063946
YMR174C	0.9208925
YOR101W	0.98467374
YNL098C	0.98460627
YFL038C	0.12567696
YDR224C	0.9750716
YBL002W	0.9714741
YNL030W	0.13390598
YBR009C	0.13390598
YDR382W	0.9666014
YGL103W	0.12078486
YFL037W	0.1385873
YPL240C	0.14031622
YOR187W	0.15345462
YPR080W	0.11855433
YBR118W	0.11855433
YEL009C	0.96842146
Q0110	0.14043689
Q0060	0.124328166
Q0065	0.14041801
Q0120	0.13733047
YEL021W	0.11919597
YJR109C	0.12198773
YGL187C	0.27956158
YLR395C	0.25438043
YDL140C	0.13097811
YOR116C	0.12342483
YER165W	0.9838551
YBR020W	0.1316948
YPL248C	0.1571956
YML051W	0.13025448
YBR019C	0.123787805
YGL031C	0.9729098
YOL127W	0.12293646
YMR056C	0.11567528
YOL006C	0.13028271
YLL018C	0.13607396
YFR053C	0.22209111
YGL253W	0.13157226
YEL063C	0.12728246
YDL164C	0.13097748
YLR310C	0.12842196
YNL055C	0.1237053
YDR225W	0.20692235
YBL003C	0.23130971
YGL008C	0.14542562
YOR386W	0.123224884
YJL088W	0.12882116
YLR340W	0.13288142
YDL081C	0.880229
YOL039W	0.93042547
YGL040C	0.12709092
YGR157W	0.16560411
YJR073C	0.1302938
YDR172W	0.98417664
YPL078C	0.24144828
YGL076C	0.132544
YLR448W	0.14285304
YKL180W	0.8422209
YPL143W	0.18084037
YMR194W	0.33045417
YLR029C	0.6056632
YNL178W	0.14068583
YBR189W	0.12513483
YDR064W	0.13164516
YLR167W	0.11024691
YKL166C	0.12922743
YDL165W	0.14472094
YDR168W	0.13651031
YIL038C	0.9842335
YOR361C	0.11912157
YGL058W	0.9733544
YJL080C	0.13474116
YLR303W	0.13184264
YGR088W	0.14238352
YLR355C	0.13264674
YLR044C	0.12516494
YPR113W	0.15960923
YNL104C	0.12644625
YDL108W	0.12755944
YDL017W	0.14175019
YJL164C	0.1325229
YPL203W	0.132815
YCR031C	0.96416646
YOR204W	0.9826814
YDL042C	0.1170363
YLR442C	0.13605414
YOR257W	0.14478171
YPR160W	0.12260842
YGL237C	0.9911049
YPL022W	0.134698
YML032C	0.98336554
YJR052W	0.13656154
YPR165W	0.15141937
YNL090W	0.12992045
YDR477W	0.13728966
YDL159W	0.12995367
YOR074C	0.13210137
YNL088W	0.13431296
YBR109C	0.26014698000000003
YML095C	0.9714228
YER171W	0.13065581
YER161C	0.9957463
YDR392W	0.9794928
YOR065W	0.13794535
YKL182W	0.11790624
YDR226W	0.30112892
YNL121C	0.13869062
YGL234W	0.12612635
YGR204W	0.12491848
YMR083W	0.1230802
YDR216W	0.1534677
YMR042W	0.98463255
YDR173C	0.13729697
YBL099W	0.1271433
YDL067C	0.32176018
YBL045C	0.13047926
YPR191W	0.11889881
YOR303W	0.12487085
YJL130C	0.13776624
YOL139C	0.13778496
YPL075W	0.98712885
YPR033C	0.12807956
YGL009C	0.1123822
YPL154C	0.1264066
YDL106C	0.9842019
YFR034C	0.98721886
YML061C	0.14882807
YLR014C	0.13755704
YGL043W	0.14004466
YOR122C	0.12327944
YGR258C	0.9481156
YMR208W	0.12939325
YIL033C	0.1281371
YOL121C	0.42623356
YNL302C	0.5291061
YFL045C	0.13213514
YDR023W	0.16402644
YBR243C	0.14050063
YMR108W	0.22932667
YHR013C	0.13652393
YFL005W	0.13376932
YBR115C	0.13327836
YPR110C	0.12419902
YFL009W	0.13058268
YAL024C	0.13729829
YOR274W	0.14567809
YLR438W	0.120673835
YNL192W	0.98211527
YJL128C	0.9839175
YEL024W	0.14178729
YDR146C	0.9813348
YPL262W	0.14849013
