ENSEMBL	symbol	WikiGene	Uniprot/SWISSPROT
YMR244C-A	null	YMR244C-A|855287	Q3E846
YBR294W	SUL1	SUL1|852597	P38359
YOR200W	null	null	Q08620
YHR071W	PCL5	PCL5|856468	P38794
YHR173C	null	null	P38864
YCR099C	null	YCR099C|850463	P25657
YCR006C	null	null	P25350
YER069W	ARG5,6	ARG5,6|856800	Q01217
YBR187W	GDT1	GDT1|852485	P38301
YOR388C	FDH1	854570|FDH1	P0CF36|P0CF35|Q08911
YPR140W	TAZ1	TAZ1|856262	Q06510
YLR030W	null	850717|YLR030W	Q07967
YKL208W	CBT1	CBT1|853673	P36038
YBR088C	POL30	POL30|852385	P15873
YNL096C	RPS7B	855628|RPS7B	P48164
YPR051W	MAK3	856163|MAK3	Q03503
YGR035C	null	852923|YGR035C	P53222
YOR265W	RBL2	RBL2|854439	P48606
YJL202C	null	null	P39532
YKL007W	CAP1	CAP1|853862	P28495
YPL054W	LEE1	LEE1|856053	Q02799
YLL023C	POM33	POM33|850637	Q12164
YAR003W	SWD1	SWD1|851265	P39706
YDR522C	SPS2	SPS2|852134	P08459
tV(UAC)D	null	null	null
YKL046C	DCW1	853820|DCW1	P36091
YLL042C	ATG10	ATG10|850684	Q07879
YLL034C	RIX7	RIX7|850625	Q07844
YPL220W	RPL1A	852742|RPL1B|RPL1A|855881	P0CX44|P0CX43
YBR289W	SNF5	852592|SNF5	P18480
YOR093C	null	YOR093C|854260	Q12275
tQ(UUG)Q	null	null	null
YPR158C-C	null	856285|YPR158C-C	Q6Q5H1
YDL062W	null	null	Q07410
YLR157W-D	null	1466412|YLR157W-D	P0CE99
YDL210W	UGA4	UGA4|851317	P32837
YDR124W	null	851702|YDR124W	Q04608
YER120W	SCS2	856856|SCS2	P40075
YBR183W	YPC1	852481|YPC1	P38298
YDR443C	SSN2	SSN2|852053	P38931
YBL009W	ALK2	852274|ALK2	P32789
YFL004W	VTC2	850544|VTC2	P43585
YCL016C	DCC1	850344|DCC1	P25559
YIL085C	KTR7	854724|KTR7	P40504
YPR148C	null	856271|YPR148C	Q06523
YBR196C-A	null	YBR196C-A|1466447	Q3E820
YJL064W	null	null	P47038
YLR420W	URA4	851139|URA4	P20051
YLR297W	null	YLR297W|851004	Q05899
YHR123W	EPT1	EPT1|856523	P22140
YOL159C	null	YOL159C|854006	Q08300
YJR150C	DAN1	853615|DAN1	P47178
YFR023W	PES4	PES4|850579	P39684
YLR058C	SHM2	850747|SHM2	P37291
YMR113W	FOL3	FOL3|855140	Q12676
YOR061W	CKA2	854227|CKA2	P19454
RDN5-1	null	null	null
YCR077C	PAT1	PAT1|850440	P25644
YNL051W	COG5	COG5|855676	P53951
YAR071W	PHO11	PHO11|851299	P35842
YDR403W	DIT1	DIT1|852012	P21623
YER188C-A	null	1466538|YER188C-A	P0C0V2
YPL182C	null	null	Q08922
YOR142W-A	null	YOR142W-A|856282|YPR158W-A|854312	P0CX60|P0CX59
YDR227W	SIR4	851813|SIR4	P11978
YDR223W	CRF1	CRF1|851809	Q04930
YLR364C-A	null	null	P0C5Q1
YOR068C	VAM10	VAM10|854234	Q08474
YGR176W	null	null	P32475
YGR234W	YHB1	853149|YHB1	P39676
YOR352W	null	YOR352W|854534	Q08816
YER086W	ILV1	856819|ILV1	P00927
YBL068W	PRS4	PRS4|852211	P38063
YLR199C	PBA1	850896|PBA1	Q05778
YMR003W	AIM34	AIM34|855015	Q03673
YDL222C	FMP45	851304|FMP45	Q07651
YPL130W	SPO19	SPO19|855973	Q03029
YEL018W	EAF5	856696|EAF5	P39995
YHR214C-C	null	YHR214C-C|856624	P0C2I4
