uniprot	ratio
A0A0B7P3V8	0.058876811594202896
D6VTK4	0.20185614849187936
O13297	0.37158469945355194
O13329	0.2667844522968198
O13516	0.18781725888324874
O13527	0.22324414715719063
O13535	0.30117122141662017
O13539	0.0
O13547	0.4327731092436975
O13563	0.15384615384615385
O14467	0.9801324503311258
O60200	0.0
O74700	0.0
O94742	0.0898876404494382
P00044	0.0
P00127	0.564625850340136
P00128	0.0
P00163	0.0
P00175	0.0
P00330	0.0
P00331	0.0
P00358	0.006024096385542169
P00359	0.0
P00360	0.006024096385542169
P00401	0.0
P00410	0.0
P00420	0.02973977695167286
P00424	0.0
P00431	0.027700831024930747
P00445	0.577922077922078
P00546	0.0
P00549	0.0
P00560	0.0
P00572	0.0
P00635	0.0
P00724	0.0
P00729	0.0
P00812	0.009009009009009009
P00815	0.0025031289111389237
P00817	0.0
P00830	0.0410958904109589
P00854	0.0
P00890	0.0
P00924	0.059496567505720827
P00925	0.06407322654462243
P00927	0.0
P00937	0.0
P00942	0.0
P00950	0.004048582995951417
P00958	0.0
P01094	1.0
P01119	0.4110032362459547
P01120	0.4968944099378882
P01123	0.13106796116504854
P02293	0.2748091603053435
P02294	0.26717557251908397
P02309	0.1262135922330097
P02400	0.45454545454545453
P02406	0.2953020134228188
P02557	0.1050328227571116
P02829	0.1156558533145275
P02992	0.011441647597254004
P02994	0.07205240174672489
P03069	0.4128113879003559
P03870	0.0
P03871	0.10991957104557641
P03873	0.0
P03877	0.0
P03878	0.0
P03879	0.0
P03962	0.0
P03965	0.0
P04037	0.0
P04039	0.0
P04050	0.1529140219272937
P04051	0.0006849315068493151
P04147	0.23570190641247835
P04385	0.0
P04386	0.07491486946651532
P04387	0.0
P04397	0.0
P04449	0.567741935483871
P04456	0.0
P04710	0.0
P04786	0.22626788036410922
P04802	0.1615798922800718
P04806	0.05567010309278351
P04807	0.02880658436213992
P04817	0.1440677966101695
P04819	0.13774834437086092
P04821	0.2605412208936438
P04840	0.0
P04911	0.07575757575757576
P04912	0.07575757575757576
P05030	0.1394335511982571
P05066	0.0
P05150	0.0
P05317	0.057692307692307696
P05318	0.29245283018867924
P05319	0.4056603773584906
P05373	0.0
P05374	0.02761795166858458
P05375	0.0
P05453	0.37664233576642336
P05626	0.0
P05737	0.11885245901639344
P05739	0.0
P05740	0.29891304347826086
P05744	0.0
P05745	0.01
P05748	0.13725490196078433
P05750	0.1875
P05755	0.18974358974358974
P05756	0.0
P05759	0.0
P05986	0.08040201005025126
P06100	0.0
P06101	0.08102766798418973
P06102	0.4449760765550239
P06103	0.0
P06104	0.313953488372093
P06105	0.16775777414075285
P06106	0.015765765765765764
P06115	0.0
P06168	0.04050632911392405
P06169	0.0
P06197	0.0
P06208	0.0
P06242	0.0
P06243	0.029585798816568046
P06244	0.2216624685138539
P06245	0.13157894736842105
P06367	0.36496350364963503
P06634	0.35927152317880795
P06700	0.1601423487544484
P06701	0.25766871165644173
P06704	0.0
P06738	0.02106430155210643
P06774	0.9207547169811321
P06777	0.1618181818181818
P06778	0.643312101910828
P06779	0.2407079646017699
P06780	0.07177033492822966
P06781	0.0
P06782	0.2480252764612954
P06784	0.06601941747572816
P06785	0.0
P06786	0.20938375350140057
P06787	0.0
P06838	0.44285714285714284
P06839	0.06683804627249357
P06843	0.993993993993994
P06844	0.27002967359050445
P07143	0.17475728155339806
P07149	0.0
P07170	0.03153153153153153
P07213	0.14748784440842788
P07244	0.0
P07245	0.0021141649048625794
P07246	0.0
P07248	0.06424792139077853
P07249	0.576271186440678
P07250	0.09577464788732394
P07251	0.09541284403669725
P07255	0.0
P07256	0.0175054704595186
P07257	0.0
P07258	0.0
P07259	0.006323396567299007
P07260	0.018779342723004695
P07261	0.3464968152866242
P07263	0.0
P07264	0.08472400513478819
P07267	0.0
P07269	0.5366726296958855
P07270	0.8333333333333334
P07271	0.26775320139697323
P07272	0.024336283185840708
P07273	0.2297734627831715
P07274	0.0
P07276	0.44131910766246363
P07277	0.0
P07278	0.22355769230769232
P07280	0.09722222222222222
P07281	0.09722222222222222
P07283	0.0
P07284	0.08874458874458875
P07286	0.0
P07342	0.11062590975254731
P07347	0.0
P07560	0.0
P07702	0.0
P07703	0.0
P07834	0.18741976893453144
P07866	0.34494773519163763
P07884	0.0
P07991	0.0
P08004	0.2988505747126437
P08018	0.47005988023952094
P08067	0.0
P08153	0.5430183356840621
P08417	0.0
P08425	0.0
P08432	0.0
P08458	0.05102040816326531
P08466	0.0
P08518	0.051470588235294115
P08524	0.0
P08525	0.031914893617021274
P08536	0.0
P08539	0.13135593220338984
P08566	0.0
P08638	0.22460496613995484
P08640	0.681784930504755
P08678	0.3129318854886476
P08679	0.0
P08964	0.11307053941908714
P09032	0.14878892733564014
P09064	0.28421052631578947
P09119	0.021442495126705652
P09201	0.0
P09232	0.2031496062992126
P09440	0.0
P09547	0.2785388127853881
P09620	0.27023319615912206
P09624	0.0
P09733	0.0
P09734	0.0
P09798	0.30238095238095236
P09880	0.0
P09938	0.13533834586466165
P09950	0.0018248175182481751
P09959	0.37858032378580325
P0C0T4	0.24074074074074073
P0C0V8	0.0
P0C0W9	0.040229885057471264
P0C0X0	0.29850746268656714
P0C2I2	0.3094017094017094
P0C2I3	0.3076923076923077
P0C2I5	0.3071225071225071
P0C2I6	0.3076923076923077
P0C2I9	0.3094017094017094
P0C2J0	0.3097949886104784
P0C2J1	0.3071225071225071
P0C2J3	0.3129943502824859
