ensembl_gene_id	uniprotswissprot
YPL071C	Q02864
YLL050C	Q03048
YMR172W	Q03213
YOR185C	P32836
YLL032C	Q07834
YBR225W	P38321
YEL041W	P32622
YOR237W	P35843
YMR027W	Q04371
YBR182C-A	Q8TGU6
YKL103C	P14904
YOL048C	Q08219
YIR015W	P40571
YNR017W	P32897
YBL055C	P34220
YML089C	Q04502
YOL144W	Q08287
YDL246C	Q07786
YDL243C	Q07747
YDR387C	Q04162
YMR290C	Q03532
YOR082C	Q08498
YCR031C	P06367
YBR293W	P38358
YJL160C	P46999
YBR223W-A	Q8TGQ3
YMR139W	P38615
YNL105W	P50943
YDL094C	Q07509
YDR438W	Q04083
YDR523C	P08458
YDR542W	Q03050
YIL156W-A	A0A023PXG3
YLR466W	O13559
YPL208W	Q08961
YLR054C	Q12202
YER011W	P10863
YLR437C	O13577
YPL102C	O13517
YNR069C	P53755
YDR492W	Q03419
YIL115W-A	A0A023PZJ9
YMR191W	P42933
YIL086C	P40503
YOL072W	Q08231
YOR114W	Q12219
YIL156W-B	Q2V2P4
YHR094C	P32465
YOL085C	Q99345
YFL031C-A	Q8TGU3
YHL031C	P38736
YOR385W	Q08909
YGL087C	P53152
YMR244C-A	Q3E846
YNL306W	P42847
YOR214C	Q12282
YAL037W	P39728
YLR217W	O13532
YLL056C	Q12177
YOL119C	Q08268
YJL204C	P39531
YAL016W	P31383
YIL146C	P40458
YCL011C	P25555
YLR128W	Q12395
YKL131W	P36067
YDR018C	Q12185
YOR019W	Q99248
YNL288W	P53829
YCL040W	P17709
YER158W-A	Q8TGR3
YNL191W	P53871
YBR115C	P07702
YGL156W	P22855
YNL150W	P53902
YCR052W	P25632
YGL015C	P33199
YOR206W	P39744
YMR091C	P32832
YMR173W-A	A0A023PXQ4
YJR105W	P47143
YHL002W	P38753
YCR100C	P25606
YOR345C	Q08811
YPL217C	Q08965
YOR341W	P10964
YDL189W	Q05672
YLR279W	O13540
YHR219C-A	P0CL34
YHR219C-A	P0CL35
YHR219C-A	P0CL36
YER056C-A	P87262
YMR180C	Q03220
YNL097C	P50947
YDR508C	P48813
YHR045W	P38775
YML020W	Q03722
YGR251W	P53317
YPL197C	Q08953
YBR031W	P10664
YDR462W	P36527
YPR139C	Q06508
YPR169W	Q06214
YPL257W	Q08974
YOL088C	Q99316
YLR075W	P41805
YML088W	Q04511
YIL010W	P40553
YBL108C-A	
YDR175C	Q03976
YLR052W	Q12345
YKR004C	Q02202
YNL137C	P27929
YNL331C	P42884
YFL026W	D6VTK4
YBR116C	P38268
YJR129C	P47163
YKR092C	P32583
YDR186C	Q04007
YML077W	Q03630
YEL067C	P39978
YJL139C	P26725
YKL002W	P36108
YGR162W	P39935
YLR159C-A	P0CY04
YLR159C-A	P0CY05
YLR159C-A	P0CY03
YLR159C-A	P0CY02
YDR150W	Q00402
YEL054C	P0CX53
YEL054C	P0CX54
YOR392W	Q08915
YPL009C	Q12532
YLR025W	P39929
YDR243C	P23394
YGR005C	P41896
YOR160W	Q99189
YLR049C	Q12110
YLR308W	Q06703
YOR084W	Q12405
YNL030W	P02309
YHR084W	P13574
YLR032W	P32849
YOR039W	P38930
YBR241C	P38142
YEL047C	P32614
YML125C	Q12746
YOR264W	Q08729
YPL183C	Q08924
YNL297C	P48563
YPR065W	P25042
YNL102W	P13382
YPR099C	O13548
YCR107W	P25612
YMR318C	Q04894
YPR032W	Q12038
YOR281C	Q12017
YMR115W	Q04472
YFR027W	P43605
YMR266W	Q03516
YDL182W	P48570
