uniprot	mode
A0A0B7P3V8	0.15367916
D6VTK4	0.15831691
O13297	0.9759582
O13329	0.11133152
O13516	0.1315373
O13527	0.15175822
O13535	0.14442423
O13539	0.12585466
O13547	0.97669333
O13563	0.28114727
O14467	0.99090207
O60200	0.11029747
O74700	0.16302988
O94742	0.72324425
P00044	0.41739118
P00127	0.9794911
P00128	0.12783149
P00163	0.1454454
P00175	0.11375874
P00330	0.122688085
P00331	0.1262469
P00358	0.1157441
P00359	0.11475772
P00360	0.113902636
P00401	0.14112397
P00410	0.1098069
P00420	0.15737362
P00424	0.45386213
P00431	0.108752295
P00445	0.88458264
P00546	0.1447491
P00549	0.14218573
P00560	0.12214512
P00572	0.119423494
P00635	0.11980062
P00724	0.13606445
P00729	0.12322484
P00812	0.10880149
P00815	0.13845757
P00817	0.1231179
P00830	0.11955535
P00854	0.32826293
P00890	0.14202285
P00924	0.117814615
P00925	0.11827652
P00927	0.12741159
P00937	0.12039699
P00942	0.12363117
P00950	0.11662145
P00958	0.12231439
P01094	0.95078266
P01119	0.9771923
P01120	0.97709
P01123	0.14585601
P02293	0.96774185
P02294	0.17599946
P02309	0.17994875
P02400	0.9596691
P02406	0.12802595
P02557	0.16007406
P02829	0.118083104
P02992	0.14728941
P02994	0.14040242
P03069	0.96121
P03870	0.14072001
P03871	0.14648114
P03873	0.13101174
P03877	0.12926666
P03878	0.14474967
P03879	0.1318438
P03962	0.13202636
P03965	0.11827636
P04037	0.28374904
P04039	0.25137725
P04050	0.15383956
P04051	0.1417847
P04147	0.11292246
P04385	0.1363717
P04386	0.14999118
P04387	0.12537429
P04397	0.13204575
P04449	0.96605766
P04456	0.13928306
P04710	0.13065484
P04786	0.15313256
P04802	0.15854874
P04806	0.11756363
P04807	0.11221391
P04817	0.15001193
P04819	0.15373634
P04821	0.15129504
P04840	0.120282546
P04911	0.21338509
P04912	0.21187848
P05030	0.16785333
P05066	0.14029846
P05150	0.13996854
P05317	0.11394792
P05318	0.8736078
P05319	0.92346585
P05373	0.122388065
P05374	0.17227395
P05375	0.12611926
P05453	0.9766477
P05626	0.2284505
P05737	0.111241356
P05739	0.12595579
P05740	0.84730124
P05744	0.14783484
P05745	0.35514936
P05748	0.46757603
P05750	0.11864835
P05755	0.13227592
P05756	0.12730235
P05759	0.115233675
P05986	0.15088372
P06100	0.13511375
P06101	0.11524629
P06102	0.97670096
P06103	0.13619986
P06104	0.12371756
P06105	0.15729046
P06106	0.11390814
P06115	0.13648224
P06168	0.15302756
P06169	0.121704474
P06197	0.15400031
P06208	0.14321978
P06242	0.12317029
P06243	0.1348228
P06244	0.15533856
P06245	0.15515572
P06367	0.9572573
P06634	0.9751
P06700	0.14009961
P06701	0.11334598
P06704	0.13887417
P06738	0.14388445
P06774	0.98811984
P06777	0.12689792
P06778	0.975808
P06779	0.15921456
P06780	0.14464971
P06781	0.12788075
P06782	0.115155056
P06784	0.15200841
P06785	0.127075
P06786	0.11158609
P06787	0.25603598
P06838	0.96413577
P06839	0.10806156
P06843	0.9939548
P06844	0.97256804
P07143	0.15930422
P07149	0.1340057
P07170	0.28271514
P07213	0.11667218
P07244	0.12225987
P07245	0.1431327
P07246	0.12852408
P07248	0.14613387
P07249	0.9774598
P07250	0.1298668
P07251	0.106340975
